 ,Area,Major,Minor,Angle
1,2656.872,74.984,45.114,117.679
2,1196.817,41.846,36.416,28.365
3,5002.551,82.799,76.927,148.311
4,1950.821,59.024,42.082,67.591
5,1573.309,62.425,32.090,20.287
6,2200.796,61.082,45.875,156.345
7,5263.749,91.855,72.963,42.029
8,1391.695,45.867,38.632,135.700
9,1085.604,42.585,32.458,17.557
10,2539.537,65.998,48.993,6.239
11,1237.629,43.655,36.096,175.225
12,4547.495,86.359,67.046,63.308
13,2797.674,68.854,51.735,18.296
14,2176.309,62.821,44.109,70.937
15,5205.591,95.360,69.505,1.304
16,4650.546,94.526,62.642,54.058
17,2343.638,61.130,48.814,33.075
18,2647.689,70.445,47.855,162.242
19,4948.475,85.461,73.724,77.778
20,2636.466,65.216,51.473,135.587
21,3492.501,73.849,60.214,14.207
22,3767.983,72.753,65.943,39.857
23,4099.582,88.953,58.680,50.942
24,2298.745,60.224,48.599,75.358
25,3947.556,81.676,61.538,64.689
26,4931.129,89.832,69.892,99.400
27,2162.024,57.797,47.628,108.942
28,3127.232,68.497,58.130,106.070
29,1403.938,52.785,33.864,102.920
30,4408.734,83.012,67.621,116.840
31,3303.745,74.570,56.409,140.305
32,3447.607,77.081,56.948,140.799
33,2511.989,61.142,52.311,59.360
34,1885.522,59.388,40.424,5.216
35,4379.145,91.300,61.070,149.728
36,2447.709,64.741,48.138,100.611
37,2699.725,64.121,53.608,21.967
38,2184.471,62.669,44.382,165.023
39,2992.552,66.225,57.535,92.619
40,3871.034,73.310,67.232,43.583
41,4404.653,86.685,64.696,71.689
42,5400.469,97.590,70.459,103.317
43,2178.349,59.404,46.690,108.101
44,3347.618,72.692,58.635,108.400
45,1432.507,54.114,33.705,100.964
46,3384.349,75.782,56.862,138.682
47,2140.598,56.433,48.296,162.976
48,2704.826,63.442,54.284,104.525
49,3283.338,67.832,61.629,22.199
50,2563.004,59.676,54.684,121.687
51,2197.735,63.102,44.344,4.290
52,1843.689,54.816,42.824,30.911
53,779.512,34.648,28.645,132.747
54,3247.628,78.573,52.626,82.785
55,3016.019,82.131,46.756,23.608
56,4787.267,92.024,66.236,162.777
57,4009.795,84.902,60.133,21.559
58,1869.197,56.657,42.006,161.577
59,1979.390,59.470,42.378,172.241
60,3784.308,87.079,55.333,62.162
61,4403.632,87.998,63.716,42.423
62,1288.644,42.828,38.310,4.487
63,3435.364,75.715,57.769,52.256
64,3069.075,79.975,48.861,54.150
65,2455.872,58.509,53.444,141.424
66,4195.490,92.423,57.798,161.606
67,1090.705,42.422,32.736,14.676
68,3139.476,74.477,53.672,179.307
69,3753.699,74.455,64.191,165.357
70,3058.872,73.122,53.262,65.657
71,1395.776,44.891,39.588,55.792
72,4644.424,82.531,71.651,42.233
73,2476.278,70.031,45.021,65.655
74,2901.745,62.291,59.312,173.596
75,2963.983,62.629,60.257,133.485
76,3302.724,74.253,56.633,35.849
77,4091.419,78.025,66.765,135.768
78,2992.552,67.463,56.479,145.063
79,2506.887,60.575,52.693,159.259
80,4155.698,91.732,57.681,63.435
81,3608.815,90.163,50.962,77.782
82,1633.507,52.326,39.748,36.038
83,4108.764,89.026,58.763,71.043
84,2426.283,66.663,46.341,111.705
85,2307.928,59.173,49.660,168.787
86,1393.735,43.387,40.900,12.704
87,3162.943,69.083,58.295,96.624
88,3066.014,72.699,53.697,95.772
89,2105.908,53.896,49.750,73.153
90,4206.714,76.473,70.040,82.690
91,2649.730,63.600,53.046,7.638
92,2051.831,62.993,41.472,85.399
93,3361.902,75.363,56.798,148.339
94,3509.846,77.234,57.862,2.056
95,3183.349,69.672,58.175,20.360
96,747.883,33.539,28.391,145.550
97,3066.014,71.777,54.388,17.929
98,808.081,34.419,29.893,151.387
99,1334.558,44.249,38.402,176.433
100,1340.680,51.686,33.026,63.274
