 ,Area,Major,Minor,Angle
1,4559.559,81.986,70.810,34.440
2,2235.527,58.179,48.925,126.221
3,2140.775,60.503,45.051,98.192
4,1324.448,46.799,36.034,31.622
5,4013.953,80.795,63.255,95.336
6,2987.297,78.012,48.756,129.761
7,2454.186,61.328,50.952,143.479
8,9785.506,172.590,72.190,73.567
9,2038.734,60.521,42.891,87.508
10,5352.978,98.179,69.420,141.399
11,3660.975,79.479,58.648,62.703
12,2798.834,76.112,46.820,133.697
13,2096.002,58.105,45.929,163.019
14,1600.375,51.877,39.279,165.477
15,1371.304,48.737,35.825,21.828
16,3291.337,73.056,57.362,61.794
17,6068.305,101.067,76.448,71.327
18,2963.349,67.492,55.904,56.363
19,2565.598,66.218,49.331,137.511
20,3455.852,73.349,59.989,127.963
21,1704.498,63.189,34.345,160.888
22,1719.075,55.699,39.297,138.501
23,4805.289,85.760,71.342,47.709
24,3520.408,77.031,58.188,3.280
25,365.473,25.008,18.607,29.739
26,1912.745,53.809,45.260,147.896
27,6373.386,94.564,85.814,159.661
28,3088.297,71.497,54.997,172.142
29,1997.085,58.389,43.548,34.290
30,1750.312,51.898,42.941,12.382
31,2930.029,68.664,54.332,159.382
32,4135.777,97.563,53.974,47.600
33,1410.870,47.785,37.593,0.827
34,1169.304,56.903,26.164,106.824
35,1051.645,42.103,31.803,136.830
36,2381.299,63.231,47.951,126.865
37,4565.806,81.705,71.150,173.270
38,2880.050,65.975,55.582,153.481
39,1846.106,55.148,42.622,157.006
40,2705.123,66.397,51.874,161.111
41,2680.133,62.225,54.840,179.598
42,3034.152,70.474,54.817,128.297
43,3842.149,92.659,52.796,40.926
44,1671.179,59.211,35.936,25.317
45,2220.950,57.636,49.063,58.422
46,2269.888,58.776,49.172,111.488
47,2713.453,69.689,49.575,9.168
48,1839.858,54.849,42.710,153.700
49,2833.195,77.234,46.706,31.738
50,3898.376,86.164,57.606,117.204
51,3061.224,74.139,52.572,124.266
52,2042.899,57.702,45.078,120.734
53,2762.391,65.895,53.375,143.114
54,3832.778,77.164,63.242,45.909
55,1376.510,46.769,37.474,130.425
56,1419.200,46.570,38.801,157.259
57,2223.032,55.121,51.350,66.115
58,2650.979,73.808,45.731,118.243
59,1584.756,51.703,39.026,89.870
60,2043.940,59.816,43.507,51.815
61,2512.495,64.641,49.489,106.348
62,2103.290,64.115,41.769,179.244
63,2847.772,70.389,51.513,120.827
64,2769.679,67.024,52.615,130.259
65,2152.228,55.615,49.273,122.607
66,1516.035,53.839,35.853,94.876
67,1337.984,49.443,34.455,41.391
68,1420.242,45.968,39.339,51.523
69,3151.812,70.234,57.137,119.872
70,1862.766,53.497,44.334,161.662
71,2034.569,61.056,42.428,142.357
72,1255.727,42.149,37.933,44.019
73,1956.476,56.311,44.238,52.537
74,2895.668,71.956,51.238,111.631
75,2124.115,57.400,47.117,111.082
76,1831.529,51.600,45.194,159.500
77,1401.499,47.814,37.321,161.183
78,2197.001,57.202,48.902,90.122
79,2401.083,60.793,50.288,28.840
80,1895.044,58.852,40.999,111.940
81,3113.286,96.821,40.941,41.723
82,1811.745,55.602,41.488,127.629
83,2534.361,62.604,51.544,113.288
84,2241.774,55.969,50.998,143.085
85,2743.648,66.699,52.374,80.399
86,2574.969,67.841,48.327,66.407
87,2659.309,65.951,51.340,74.339
88,2384.423,64.327,47.196,52.786
89,2108.496,56.536,47.485,155.185
90,2426.072,60.558,51.008,128.941
91,1421.283,46.397,39.003,14.304
92,2271.970,62.988,45.925,3.582
93,2487.505,62.018,51.069,138.471
94,1391.087,50.543,35.043,41.929
95,2141.816,60.972,44.726,32.578
96,1470.221,46.415,40.330,45.923
97,3309.038,72.293,58.280,120.725
98,1493.128,53.363,35.626,140.076
99,1320.283,49.024,34.290,93.165
100,2084.548,58.383,45.460,19.481
101,1491.045,47.698,39.801,59.026
102,3687.005,82.776,56.712,172.048
103,1798.209,48.493,47.214,9.466
104,2024.157,55.606,46.348,174.627
105,1404.623,47.490,37.659,63.564
106,2306.331,57.652,50.935,40.887
107,2162.641,61.530,44.751,148.714
108,1302.582,43.065,38.511,40.938
109,1964.806,56.948,43.929,52.438
